Day,Date,NO_CWV,NO_LB1,NO_LB2,NO_LB3,NO_LB4,NO_NDM_Total,NO_DM,NO_Interruptible,NO_Shrinkage,NO_Total_Throughput,NO_Billing_CV,NE_CWV,NE_LB1,NE_LB2,NE_LB3,NE_LB4,NE_NDM_Total,NE_DM,NE_Interruptible,NE_Shrinkage,NE_Total_Throughput,NE_Billing_CV,LB1,LB2,LB3,LB4,NDM_Total,DM,Interruptible,Shrinkage,Total_Throughput
Tuesday,01-January-08,4.41,84643.1,7382.8,6548.2,4241.4,102815.5,9667.8,14636.7,737.3,127857.3,40.3,5.16,100967.2,10746.4,7804.7,4210.4,123728.7,12108.5,9924.4,932.9,146694.6,40.3,185610.4,18129.2,14352.9,8451.8,226544.2,21776.4,24561.1,1670.2,274551.9
Wednesday,02-January-08,2.34,105310.8,10754.2,9067.6,5474.8,130607.4,12271,17725,931.5,161534.9,40.2,1.54,129501.2,16260.6,11061.4,5824.6,162647.9,13113.7,15841.9,1226.3,192829.8,40.1,234812,27014.8,20129.1,11299.4,293255.2,25384.7,33567,2157.8,354364.6
Thursday,03-January-08,1.05,116157.7,14679.8,12371.8,8005.8,151215.1,13694.6,18787.7,1065.4,184762.9,40.2,0.79,140965.7,21973.8,14775.1,8910.3,186624.9,13276,18276.3,1396.3,219573.6,40.1,257123.3,36653.6,27147,16916.1,337840,26970.6,37064,2461.8,404336.4
Friday,04-January-08,1.4,105711.3,14627,11792.3,7864.7,139995.3,13119.8,17112.1,987.3,171214.5,40.2,2.3,122952.3,20386.9,13633.8,8788.5,165761.5,13215.1,16874.6,1253.4,197104.7,40,228663.6,35013.9,25426.1,16653.1,305756.8,26334.9,33986.7,2240.8,368319.1
Saturday,05-January-08,1.22,100363.5,9293.9,8034.1,5864.1,123555.5,11455.5,16127.6,876.6,152015.2,40,2.91,118475.4,13459.9,9645.3,6012.3,147593,12575.5,14300.2,1116.6,175585.2,40.1,218838.9,22753.8,17679.4,11876.4,271148.5,24031,30427.7,1993.2,327600.4
Sunday,06-January-08,1.98,97434.1,9304.3,8400.1,6233.3,121371.8,12456.4,18357.2,882.7,153068.1,40,2.85,118707,13198.7,9726.4,6625.4,148257.5,12751.3,15302.4,1128.4,177439.6,40,216141.2,22503,18126.4,12858.7,269629.3,25207.7,33659.6,2011.1,330507.7
Monday,07-January-08,1.06,97809.2,14823.3,12653.7,8735.4,134021.5,14370.4,19430.3,973.4,168795.6,40,2.68,117588.4,21228.1,14934.9,10013.6,163765,13463.2,19543.3,1259.3,198030.8,39.9,215397.5,36051.4,27588.6,18749,297786.5,27833.6,38973.6,2232.7,366826.4
Tuesday,08-January-08,2.09,98170.6,14878.6,12694.2,8752.4,134495.8,14128.5,18262.8,967.9,167855.1,40,3.73,113247.6,20378.1,14440.1,9803.2,157868.9,13760.3,17848.1,1212.7,190690,39.8,211418.1,35256.7,27134.3,18555.6,292364.7,27888.8,36111,2180.6,358545.1
Wednesday,09-January-08,1.02,102621.3,15559.6,13190.1,8994.1,140365.1,14340.3,18271.8,1003.3,173980.5,40,3,118905.1,21480.7,15084.4,10077.8,165548,13715.3,18573.3,1266.2,199102.8,39.9,221526.4,37040.2,28274.5,19072,305913.2,28055.6,36845.1,2269.4,373083.2
Thursday,10-January-08,2.36,93947.1,14233.3,12186,8523.9,128890.3,14470.8,18238,937.3,162536.4,40.1,4.32,107715.4,19295.1,13797.4,9527.5,150335.4,13704.6,17722.8,1163.3,182926.1,40,201662.5,33528.4,25983.5,18051.4,279225.7,28175.4,35960.8,2100.6,345462.5
Friday,11-January-08,1.89,103890.9,14376.2,11603.9,7796.8,137667.8,13801.5,17685.1,981.1,170135.5,40.1,2.46,123424.1,20464.7,13668.4,8804.8,166361.9,13590.7,18217.8,1268.3,199438.7,39.9,227314.9,34840.9,25272.2,16601.6,304029.7,27392.3,35902.8,2249.4,369574.2
Saturday,12-January-08,1.55,108251.5,10028.6,8586.7,6160.2,133027.1,12096.7,17039.1,940.5,163103.4,40.1,2.95,124424.3,14183.8,10072.8,6189.4,154870.3,13316.7,14941.7,1172,184300.8,39.9,232675.9,24212.4,18659.5,12349.5,287897.4,25413.5,31980.8,2112.6,347404.2
Sunday,13-January-08,3.52,91837.2,8771.3,7968.5,6030,114607,12295.5,17158.7,835.6,144896.8,40,4.59,108137.8,11926.9,8936.7,6276.5,135277.9,13142.2,15163.1,1046.9,164630.1,40,199975,20698.2,16905.2,12306.5,249884.9,25437.8,32321.7,1882.5,309526.9
Monday,14-January-08,3.24,85384.3,12923.2,11207,8109.4,117624.1,13727,18981.9,871.9,151204.9,40,4.72,101219.3,18017.7,13053.1,9205.6,141495.6,13588.6,18997.1,1114.1,175195.4,40,186603.6,30941,24260.1,17315,259119.7,27315.6,37979,1986.1,326400.3
Tuesday,15-January-08,3.53,83670.4,12661.3,11010.2,8013.2,115355.1,13872.2,18875.6,859,148961.9,40,5.03,98926,17572.2,12790.1,9089.3,138377.6,13472.8,18946.9,1093.1,171890.4,40,182596.4,30233.5,23800.3,17102.5,253732.7,27345,37822.5,1952.1,320852.3
Wednesday,16-January-08,2.47,91262.3,13826.1,11880.5,8415.4,125384.3,14351.9,18645,918.6,159299.8,40,4.39,105668.6,18888.9,13582.4,9424.2,147564.2,13610.7,19522.2,1156.5,181853.6,39.9,196930.9,32715,25463,17839.6,272948.5,27962.6,38167.2,2075.1,341153.3
Thursday,17-January-08,2.42,94709.5,14353.2,12280.9,8598.6,129942.2,14136,18154.2,940.9,163173.3,40,3.95,108762.8,19496.7,13936.3,9573.9,151769.7,13776.1,18658,1178.9,185382.7,40,203472.3,33849.9,26217.2,18172.4,281711.9,27912.1,36812.2,2119.9,348556
Friday,18-January-08,3.8,87763.3,12125.3,9990,7054.1,116932.7,13479.7,17708.8,859.1,148980.3,39.9,5.87,100728.1,16402.4,11406.6,7840.6,136377.6,13320.1,16811.6,1065.7,167575,39.9,188491.4,28527.6,21396.6,14894.7,253310.3,26799.8,34520.4,1924.8,316555.3
Saturday,19-January-08,3.61,85328.6,7902.1,6965.7,5313.5,105510,11897.9,17929.4,785,136122.2,40,6.81,94578.4,10533.6,7889.8,5281.7,118283.5,12971.5,14216.8,931,146402.8,40,179907,18435.7,14855.5,10595.3,223793.5,24869.3,32146.2,1716,282525
Sunday,20-January-08,3.82,86350.7,8247.2,7547.6,5815.8,107961.4,12409.5,18006,802.6,139179.4,40,7.7,89328.5,9674.9,7553.3,5651.3,112208,12865.3,14429.1,892.8,140395.2,40,175679.2,17922.1,15100.8,11467.1,220169.4,25274.8,32435.1,1695.4,279574.7
Monday,21-January-08,2.13,97015.5,14709.5,12546,8720.9,132992,14484.7,20061.5,971.7,168509.9,40.2,6.03,99728.8,17729.7,12901.3,9127.8,139487.7,13582.1,18405.6,1097.4,172572.9,40,196744.3,32439.2,25447.4,17848.7,272479.6,28066.8,38467.2,2069.2,341082.8
