Date,Holiday,Type,Bank Holiday
2007/12/26,Boxing Day,Bank Holiday,TRUE
2008/01/01,New Year's Day,Bank Holiday,TRUE
2008/01/25,Robert Burns Night (Burns Night),Notable Date,FALSE
2008/01/27,Holocaust Memorial Day,Notable Date,FALSE
2008/02/05,Shrove Tuesday (Pancake Day),Notable Date,FALSE
2008/02/06,Ash Wednesday,Religious Date,FALSE
2008/02/14,Valentines Day,Notable Date,FALSE
2008/03/01,St David's Day,Notable Date,FALSE
2008/03/02,Mothering Sunday (Mothers Day),Notable Date,FALSE
2008/03/10,Commonwealth Day,Notable Date,FALSE
2008/03/16,Palm Sunday,Religious Date,FALSE
2008/03/17,St Patricks Day,Religious Date,FALSE
2008/03/20,Maundy Thursday,Religious Date,FALSE
2008/03/21,Good Friday,Bank Holiday,TRUE
2008/03/23,Easter Sunday,Religious Date,FALSE
2008/03/24,Easter Monday,Bank Holiday,TRUE
2008/03/30,British Summertime (BST) Begins,Notable Date,FALSE
2008/04/01,April Fool's Day,Notable Date,FALSE
2008/04/21,Queen Elizabeth's Birthday,Notable Date,FALSE
2008/04/23,St George's Day,Religious Date,FALSE
2008/05/05,May Day (Early May Bank Holiday),Bank Holiday,TRUE
2008/05/26,Spring Bank Holiday,Bank Holiday,TRUE
2008/06/14,Trooping the Colour,Notable Date,FALSE
2008/06/15,Father's Day,Notable Date,FALSE
2008/07/14,Emmeline Pankhurst Day,Notable Date,FALSE
2008/07/15,St.Swithun's Day (aka St. Swithin's),Religious Date,FALSE
2008/08/25,Summer Bank Holiday,Bank Holiday,TRUE
2008/10/26,British Summertime (BST) Ends,Notable Date,FALSE
2008/10/31,Halloween,Notable Date,FALSE
2008/11/01,All Saints Day,Religious Date,FALSE
2008/11/05,Guy Fawkes Night,Notable Date,FALSE
2008/11/09,Remembrance Day (Remembrance Sunday),Notable Date,FALSE
2008/11/30,St Andrew's Day,Religious Date,FALSE
2008/12/25,Christmas,Bank Holiday,TRUE
2008/12/26,Boxing Day,Bank Holiday,TRUE
2008/12/31,Hogmanay,Notable Date,FALSE
2009/01/01,New Year's Day,Bank Holiday,TRUE
2009/01/25,Robert Burns Night (Burns Night),Notable Date,FALSE
2009/01/27,Holocaust Memorial Day,Notable Date,FALSE
2009/02/14,Valentines Day,Notable Date,FALSE
2009/02/24,Shrove Tuesday (Pancake Day),Notable Date,FALSE
2009/02/25,Ash Wednesday,Religious Date,FALSE
2009/03/01,St David's Day,Notable Date,FALSE
2009/03/17,St Patricks Day,Religious Date,FALSE
2009/03/22,Mothering Sunday (Mothers Day),Notable Date,FALSE
2009/03/29,British Summertime (BST) Begins,Notable Date,FALSE
2009/04/01,April Fool's Day,Notable Date,FALSE
2009/04/09,Maundy Thursday,Religious Date,FALSE
2009/04/10,Good Friday,Bank Holiday,TRUE
2009/04/12,Easter Sunday,Religious Date,FALSE
2009/04/13,Easter Monday,Bank Holiday,TRUE
2009/04/21,Queen Elizabeth's Birthday,Notable Date,FALSE
2009/04/23,St George's Day,Religious Date,FALSE
2009/05/04,May Day (Early May Bank Holiday),Bank Holiday,TRUE
2009/05/25,Spring Bank Holiday,Bank Holiday,TRUE
2009/06/14,Trooping the Colour,Notable Date,FALSE
2009/06/21,Father's Day,Notable Date,FALSE
2009/07/14,Emmeline Pankhurst Day,Notable Date,FALSE
2009/07/15,St.Swithun's Day (aka St. Swithin's),Religious Date,FALSE
2009/08/31,Summer Bank Holiday,Bank Holiday,TRUE
2009/10/25,British Summertime (BST) Ends,Notable Date,FALSE
2009/10/31,Halloween,Notable Date,FALSE
2009/11/01,All Saints Day,Religious Date,FALSE
2009/11/05,Guy Fawkes Night,Notable Date,FALSE
2009/11/08,Remembrance Day (Remembrance Sunday),Notable Date,FALSE
2009/11/30,St Andrew's Day,Religious Date,FALSE
2009/12/25,Christmas,Bank Holiday,TRUE
2009/12/28,Boxing Day,Bank Holiday,TRUE
2010/01/01,New Year's Day,Bank Holiday,TRUE
2010/01/25,Robert Burns Night (Burns Night),Notable Date,FALSE
2010/01/27,Holocaust Memorial Day,Notable Date,FALSE
2010/02/14,Valentines Day,Notable Date,FALSE
2010/02/16,Shrove Tuesday (Pancake Day),Notable Date,FALSE
2010/02/17,Ash Wednesday,Religious Date,FALSE
2010/03/01,St David's Day,Notable Date,FALSE
2010/03/14,Mothering Sunday (Mothers Day),Notable Date,FALSE
2010/03/17,St Patricks Day,Religious Date,FALSE
2010/03/28,British Summertime (BST) Begins,Notable Date,FALSE
2010/04/01,Maundy Thursday,Religious Date,FALSE
2010/04/01,April Fool's Day,Notable Date,FALSE
2010/04/02,Good Friday,Bank Holiday,TRUE
2010/04/04,Easter Sunday,Religious Date,FALSE
2010/04/05,Easter Monday,Bank Holiday,TRUE
2010/04/21,Queen Elizabeth's Birthday,Notable Date,FALSE
2010/04/23,St George's Day,Religious Date,FALSE
2010/05/03,May Day (Early May Bank Holiday),Bank Holiday,TRUE
2010/05/31,Spring Bank Holiday,Bank Holiday,TRUE
2010/06/14,Trooping the Colour,Notable Date,FALSE
2010/06/20,Father's Day,Notable Date,FALSE
2010/07/14,Emmeline Pankhurst Day,Notable Date,FALSE
2010/07/15,St.Swithun's Day (aka St. Swithin's),Religious Date,FALSE
2010/08/30,Summer Bank Holiday,Bank Holiday,TRUE
2010/10/31,British Summertime (BST) Ends,Notable Date,FALSE
2010/10/31,Halloween,Notable Date,FALSE
2010/11/01,All Saints Day,Religious Date,FALSE
2010/11/05,Guy Fawkes Night,Notable Date,FALSE
2010/11/14,Remembrance Day (Remembrance Sunday),Notable Date,FALSE
2010/11/30,St Andrew's Day,Religious Date,FALSE
2010/12/27,Boxing Day,Bank Holiday,TRUE
2010/12/28,Christmas,Bank Holiday,TRUE
2011/01/02,Hogmanay,Notable Date,FALSE
2011/01/03,New Year's Day,Bank Holiday,TRUE
2011/01/25,Robert Burns Night (Burns Night),Notable Date,FALSE
2011/01/27,Holocaust Memorial Day,Notable Date,FALSE
